Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
130,3123411969,"ООО ""СЕНА""",БЕЛГОРОДСКАЯ,Малое предприятие,"308036, БЕЛГОРОДСКАЯ, БЕЛГОРОД, ГУБКИНА, 48А, 57",1164.551,223.303,260.474,19.175029689554172,50.5728065,36.5480248,"50.572806,36.548025",address
131,4501187413,"ООО ""СТАЛЬСТРОЙМОНТАЖ""",КУРГАНСКАЯ,Среднее предприятие,"640023, КУРГАНСКАЯ, КУРГАН, ЗАГОРОДНАЯ, 3, 117",1518.457,222.783,297.581,14.671669991313552,55.4885802,65.2127618,"55.48858,65.212762",address
132,6318240140,"ООО РСК ""АРМАДА""",САМАРСКАЯ,Малое предприятие,"443070, САМАРСКАЯ, САМАРА, ВЕРХНЕ-КАРЬЕРНАЯ, 6, 28",973.302,222.286,,22.83833794649554,53.1814717,50.1764074,"53.181472,50.176407",address
133,2310101500,"ООО ""ЮГСТРОЙСЕРВИС""",КРАСНОДАРСКИЙ,Малое предприятие,"350020, КРАСНОДАРСКИЙ, Краснодар, КРАСНАЯ, 180А, 206",437.434,222.058,,50.76377236337367,45.0229637,38.9691053,"45.022964,38.969105",address
134,2129040518,"ООО ""СЗ ""СМУ-58""",ЧУВАШСКАЯ РЕСПУБЛИКА -,Малое предприятие,"428034, ЧУВАШСКАЯ РЕСПУБЛИКА -, ЧЕБОКСАРЫ, МОСКОВСКИЙ, 17, 1, 2",254.856,220.961,206.681,86.70033273691811,56.0984586,47.268959,"56.098459,47.268959",city_or_region
135,3662058103,"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""СТЭЛ-ИНВЕСТ""",ВОРОНЕЖСКАЯ,Малое предприятие,"394077, ВОРОНЕЖСКАЯ, ВОРОНЕЖ, МОСКОВСКИЙ, 109А, 1",135.511,220.797,276.975,162.9365881736538,51.7122209,39.1791603,"51.712221,39.17916",address
136,2524004983,"ООО ""КАПСТРОЙ""",ПРИМОРСКИЙ,Среднее предприятие,"692941, ПРИМОРСКИЙ, НАХОДКА, БАЗОВАЯ, 32, 1",1629.908,218.168,260.403,13.385295366364236,42.7547279,133.0873885,"42.754728,133.087388",address
137,7701769950,"ООО ""БРАНД""",МОСКВА,Малое предприятие,"117556, МОСКВА, НАХИМОВСКИЙ, 1, 1, 1 ПОМ 2 КОМ 16",480.429,216.48,226.183,45.05972786821778,55.5855432,37.468632,"55.585543,37.468632",address
138,7720698889,"ООО ""ЭКОТЭС""",МОСКВА,Малое предприятие,"117587, МОСКВА, ВАРШАВСКОЕ, 118, 1, 1/5",1326.505,212.596,293.495,16.02677713238925,55.6315717,37.6180684,"55.631572,37.618068",address
139,6382020906,"ООО СЗ ""ЕДИНЕНИЕ""",САМАРСКАЯ,Малое предприятие,"445039, САМАРСКАЯ, ТОЛЬЯТТИ, 40 ЛЕТ ПОБЕДЫ, 94В",796.48,210.427,332.297,26.419621333869024,53.5259127,49.326438,"53.525913,49.326438",address
140,0326514530,"ООО СЗ ""СМИТИНВЕСТ""",БУРЯТИЯ,Малое предприятие,"670034, БУРЯТИЯ, УЛАН-УДЭ, ХАХАЛОВА, 2А",109.191,209.458,213.796,191.82716524255662,51.8326028,107.5994331,"51.832603,107.599433",address
141,6501067536,"ООО ""СЗ ""РЫБОВОДСТРОЙ""",САХАЛИНСКАЯ,Среднее предприятие,"693004, САХАЛИНСКАЯ, ЮЖНО-САХАЛИНСК, ЛЕНИНА, 384Б/1",2863.928,208.684,305.591,7.28663569754547,46.9309048,142.7319259,"46.930905,142.731926",address
142,7723788971,"ООО ""САВ-СТРОЙ""",МОСКВА,Малое предприятие,"125167, МОСКВА, ЛЕНИНГРАДСКИЙ, 45, 2, I/3/ПОДВАЛ",1345.008,206.288,250.038,15.337306543901597,55.625578,37.6063916,"55.625578,37.606392",city_or_region
143,7714957479,"ООО ""СТРОИТЕЛЬНЫЙ ТРЕСТ-12""",МОСКОВСКАЯ,Среднее предприятие,"140184, МОСКОВСКАЯ, ЖУКОВСКИЙ, МИЧУРИНА, 9, 1",8523.566,204.622,279.665,2.4006618825970256,55.6076459,38.1067554,"55.607646,38.106755",address
144,9110022780,"ООО ""РЕГИОНСТРОЙСНАБ""",КРЫМ,Малое предприятие,"297420, КРЫМ, ЕВПАТОРИЯ, ИМ.9-ГО МАЯ, 114, 1",369.128,203.871,201.074,55.23043497106694,45.2068827,33.3402337,"45.206883,33.340234",address
145,7702834017,"ООО ""СПЕЦПРОМСТРОЙ""",МОСКВА,Малое предприятие,"129110, МОСКВА, ГИЛЯРОВСКОГО, 57, 1",1237.896,203.744,296.902,16.45889476983527,55.7870657,37.6321247,"55.787066,37.632125",address
146,2310140354,"ООО СК ""ЕКАТЕРИНОДАР-СИТИ""",КРАСНОДАРСКИЙ,Малое предприятие,"350072, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. 40-ЛЕТИЯ ПОБЕДЫ, 33Г, 1151190",,203.391,,,45.0553775,39.0066001,"45.055378,39.0066",address
147,5638050428,"ООО ""УИК""",ОРЕНБУРГСКАЯ,Среднее предприятие,"460525, ОРЕНБУРГСКАЯ, ОРЕНБУРГСКИЙ, БЛАГОСЛОВЕНКА, КООПЕРАТИВНАЯ, 43",1766.414,203.152,109.197,11.500814644811465,51.7144111,55.3198137,"51.714411,55.319814",address
148,3444259931,"ООО ""АСЗ""",ВОЛГОГРАДСКАЯ,Малое предприятие,"400005, ВОЛГОГРАДСКАЯ, ВОЛГОГРАД, СОВЕТСКАЯ, 28",1876.247,202.114,205.86,10.772249069552144,48.7146204,44.5313225,"48.71462,44.531322",address
149,7810741105,"ООО ""ПСК""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"196128, САНКТ-ПЕТЕРБУРГ, КУЗНЕЦОВСКАЯ, 21, А, 4-Н",1569.335,200.903,223.111,12.801791841767374,59.8718703,30.3032182,"59.87187,30.303218",address
150,6234101950,"ООО ""ДОЛСТРИМ""",РЯЗАНСКАЯ,Среднее предприятие,"390047, РЯЗАНСКАЯ, РЯЗАНЬ, 27А",2783.811,200.461,284.345,7.200955812014537,54.5995019,39.7647303,"54.599502,39.76473",address
151,7801421194,"ООО ""СЕЛЕНА МОНТАЖ""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"199178, САНКТ-ПЕТЕРБУРГ, 18-Я В.О., 29, И, 1-Н Ч.КОМ. 399, КОМН. 401-410",3699.058,199.638,265.773,5.39699566754563,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
152,7327090005,"ООО ""МОНОЛИТ""",УЛЬЯНОВСКАЯ,Среднее предприятие,"432027, УЛЬЯНОВСКАЯ, УЛЬЯНОВСК, СИМБИРСКАЯ, 7/1, 1",2834.036,198.988,265.119,7.021364583936125,54.3425308,48.3870507,"54.342531,48.387051",address
153,3906302060,"ООО ""ОМЕГА""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236039, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, ЭПРОНОВСКАЯ, 12, 3",279.604,197.496,169.783,70.63418262971918,54.7022567,20.5137193,"54.702257,20.513719",address
154,7225005025,"ООО ""ЛЕСНЫЕ ТЕХНОЛОГИИ""",ТЮМЕНСКАЯ,Среднее предприятие,"625056, ТЮМЕНСКАЯ, Тюмень, ВОРОНИНСКИЕ ГОРКИ, 101Б, 4",1353.815,197.478,247.647,14.586778843490434,57.203642,65.4433592,"57.203642,65.443359",address
155,9705037905,"ООО ""СМК""",МОСКВА,Малое предприятие,"125480, МОСКВА, ГЕРОЕВ ПАНФИЛОВЦЕВ, 16, 1, 8/3П",2779.891,195.156,204.201,7.0202752553967045,55.8587145,37.423835,"55.858714,37.423835",address
156,5614014188,"ООО ""УЦМР""",ОРЕНБУРГСКАЯ,Среднее предприятие,"462401, ОРЕНБУРГСКАЯ, ОРСК, СТРОИТЕЛЕЙ, 35А",1513.712,194.171,223.353,12.827473125667236,51.2282749,58.5276682,"51.228275,58.527668",address
157,7447139573,"ООО ""РГС ГРУПП""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"454080, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, ЛЕСОПАРКОВАЯ, 6, 1, 701",1442.594,193.447,93.765,13.409663425745567,55.1508423,61.3637925,"55.150842,61.363792",address
158,8904070510,"ООО СЗ ""АНТАРЕС""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629305, ЯМАЛО-НЕНЕЦКИЙ, НОВЫЙ УРЕНГОЙ, АРКТИЧЕСКАЯ, 4, 1",140.184,192.42,258.061,137.26245505906522,66.0827223,76.6340088,"66.082722,76.634009",address
159,7106047347,"ООО ""СТРОЙЭТАЛОН ФИНАНС""",ТУЛЬСКАЯ,Малое предприятие,"300001, ТУЛЬСКАЯ, ТУЛА, К.МАРКСА, 5, 107А",1133.769,192.414,228.341,16.97118196034642,54.1974604,37.6350741,"54.19746,37.635074",address
160,5903110050,"ООО ""ПГП-СТРОЙ""",ПЕРМСКИЙ,Малое предприятие,"614039, ПЕРМСКИЙ, ПЕРМЬ, СИБИРСКАЯ, 47А, 302",1578.54,192.32,226.297,12.18340998644317,58.0056661,56.2527866,"58.005666,56.252787",address
161,5404278931,"ООО ""ПРОМСТРОЙ""",НОВОСИБИРСКАЯ,Малое предприятие,"630091, НОВОСИБИРСКАЯ, НОВОСИБИРСК, СОВЕТСКАЯ, 64, 419",623.492,191.962,256.002,30.788205782913014,55.04888,82.912171,"55.04888,82.912171",address
162,3706011835,"ООО ""РЕЗЦОФФ""",ИВАНОВСКАЯ,Среднее предприятие,"155908, ИВАНОВСКАЯ, ШУЙСКИЙ, ОСТАПОВО, ЗЕЛЕНАЯ, 79Ф",3403.335,191.851,233.362,5.637147092484284,56.826144,41.3951504,"56.826144,41.39515",address
163,2466257083,"ООО ""СТРОЙМОНТАЖ""",КРАСНОЯРСКИЙ,Малое предприятие,"660017, КРАСНОЯРСКИЙ, КРАСНОЯРСК, МИРА, 94, ОФИС 3-05",1446.693,189.622,235.358,13.107272932128655,56.0091173,92.872586,"56.009117,92.872586",city_or_region
164,2460001399,"ООО ""АЛЬФА""",КРАСНОЯРСКИЙ,Среднее предприятие,"660048, КРАСНОЯРСКИЙ, КРАСНОЯРСК, КАЛИНИНА, 8, 244",593.45,189.041,215.228,31.854579155783973,56.0344777,92.8216841,"56.034478,92.821684",address
165,7718904767,"ООО ""ТЕЛЕ-НОВА""",МОСКВА,Малое предприятие,"107061, МОСКВА, ПРЕОБРАЖЕНСКАЯ, 8, 43",1453.716,188.985,266.846,13.000132075315948,55.7905511,37.7126986,"55.790551,37.712699",address
166,6731028404,"АО ""СМОЛСТРОМ-СЕРВИС""",СМОЛЕНСКАЯ,Среднее предприятие,"214014, СМОЛЕНСКАЯ, СМОЛЕНСК, ЭНГЕЛЬСА, 23А",1026.914,188.909,146.174,18.395795558342762,54.78079,32.064613,"54.78079,32.064613",address
167,7802148357,"АО ""НЕВСКИЙ ПРОЕКТ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"198095, САНКТ-ПЕТЕРБУРГ, МИТРОФАНЬЕВСКОЕ, 5, 2 ЛИТ.Б",1275.417,186.462,222.041,14.619689089921179,59.8930884,30.3049182,"59.893088,30.304918",address
168,9701069818,"ООО ""БС-СТРОЙ""",МОСКВА,Малое предприятие,"105066, МОСКВА, НИЖНЯЯ КРАСНОСЕЛЬСКАЯ, 35, 9, 3, КОМ 3",7825.531,186.34,231.369,2.381180267511559,55.7761664,37.6728229,"55.776166,37.672823",address
169,5401345428,"ООО СК ""ВИРА-СТРОЙ""",НОВОСИБИРСКАЯ,Малое предприятие,"630004, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ДИМИТРОВА, 4/1",134.238,185.721,203.084,138.3520314664998,55.0306642,82.909687,"55.030664,82.909687",address
170,7702536109,"ООО ""СЕВ. Р. ДЕВЕЛОПМЕНТ""",МОСКВА,Среднее предприятие,"105120, МОСКВА, НИЖНЯЯ СЫРОМЯТНИЧЕСКАЯ, 10, 2, I СЕДЬМОЙ ЭТАЖ",2268.67,185.061,202.481,8.157246316123544,55.625578,37.6063916,"55.625578,37.606392",city_or_region
171,6155043061,"ООО ""СМК""",РОСТОВСКАЯ,Малое предприятие,"344013, РОСТОВСКАЯ, РОСТОВ-НА-ДОНУ, 2-Й ПЕРЕУЛОК, 114 А, 74",414.125,183.615,244.82,44.33806217929369,47.238038,39.682258,"47.238038,39.682258",address
172,7810384189,"ООО ""ИНТЕРИОР ДЕКОР""",ЛЕНИНГРАДСКАЯ,Малое предприятие,"188645, ЛЕНИНГРАДСКАЯ, ВСЕВОЛОЖСКИЙ, ВСЕВОЛОЖСК, КОЛТУШСКОЕ, 298, 4",879.734,182.836,,20.783100346241024,60.0376605,30.6311564,"60.03766,30.631156",address
173,5009007401,"ЗАО ""МОСОБЛСТРОЙТРЕСТ №11""",МОСКОВСКАЯ,Среднее предприятие,"142000, МОСКОВСКАЯ, ДОМОДЕДОВО, СТАНЦИОННАЯ, 2",839.621,178.426,-16.146,21.25077862511776,55.4421907,37.7736078,"55.442191,37.773608",address
174,6673210179,"ООО ""ЭНЕРГОКОМПЛЕКС""",СВЕРДЛОВСКАЯ,Среднее предприятие,"620026, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ТВЕРИТИНА, 34, 8",2721.223,177.752,222.397,6.53206297315582,56.8238639,60.6251405,"56.823864,60.62514",address
175,7826728460,"ООО""ГАЛАКСИ""",МОСКВА,Малое предприятие,"107031, МОСКВА, РОЖДЕСТВЕНСКИЙ, 22/23, 1, 3",582.842,177.459,338.777,30.44718808871015,55.76623,37.6304638,"55.76623,37.630464",address
176,7702406981,"ООО ""ТЭМП""",МОСКВА,Малое предприятие,"123298, МОСКВА, НАРОДНОГО ОПОЛЧЕНИЯ, 40, 2, 2Н",959.102,176.659,226.072,18.419208801566462,55.7955096,37.5007116,"55.79551,37.500712",address
177,5906148686,"ООО ""ДИАЛ-СТРОЙ""",ПЕРМСКИЙ,Малое предприятие,"614030, ПЕРМСКИЙ, ПЕРМЬ, ЯНАУЛЬСКАЯ, 18, 3",864.122,176.465,188.084,20.421306250737743,58.1013342,56.3060806,"58.101334,56.306081",address
178,5509009608,"ООО ""СК ""НОВОСТРОЙ""",ОМСКАЯ,Малое предприятие,"644007, ОМСКАЯ, ОМСК, ТРЕТЬЯКОВСКАЯ, 69",327.643,175.779,177.425,53.64955149354633,54.997869,73.3709342,"54.997869,73.370934",address
179,2465012193,"ООО СЗ ПСК ""ОМЕГА""",КРАСНОЯРСКИЙ,Малое предприятие,"660062, КРАСНОЯРСКИЙ, КРАСНОЯРСК, ВЫСОТНАЯ, 2Ц, 148",1227.015,175.486,240.462,14.301862650415847,56.0234133,92.7843517,"56.023413,92.784352",address
180,7825483746,"ООО ""ЦЕНТР-ИНВЕСТ-СТРОЙ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"191024, САНКТ-ПЕТЕРБУРГ, НЕВСКИЙ, 117, ЛИТЕР Б, ПОМЕЩЕНИЕ 6-Н 7-Н",1131.53,175.238,185.541,15.486818732159113,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
181,7452113771,"ООО ""ДОРСТРОЙСЕРВИС""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"454007, ЧЕЛЯБИНСКАЯ, ЧЕЛЯБИНСК, 40-ЛЕТИЯ ОКТЯБРЯ, 24, 6",213.432,174.114,168.861,81.57820757899471,55.1614257,61.4486164,"55.161426,61.448616",address
182,6154141958,"ООО СЗ ""МОНТАЖЖИЛСТРОЙ-Т""",РОСТОВСКАЯ,Малое предприятие,"347904, РОСТОВСКАЯ, ТАГАНРОГ, ОКТЯБРЬСКАЯ, 38, Б, 7,8",290.551,173.357,189.559,59.664912528265255,47.2212613,38.9104834,"47.221261,38.910483",address
183,6629003208,"ООО ""КОРВЕТ""",СВЕРДЛОВСКАЯ,Среднее предприятие,"624135, СВЕРДЛОВСКАЯ, НОВОУРАЛЬСК, СЕРОВА, 4",1344.407,172.247,209.483,12.812117163924317,57.2415041,60.0711309,"57.241504,60.071131",address
184,7610107766,"ООО ""ВПС""",ЯРОСЛАВСКАЯ,Среднее предприятие,"152901, ЯРОСЛАВСКАЯ, РЫБИНСКИЙ, РЫБИНСК, КРАСНАЯ, 3",899.965,170.059,230.17,18.896179295861508,58.0546377,38.7896906,"58.054638,38.789691",address
185,4909071905,"ООО ""ТЕПЛОМОНТАЖ""",МАГАДАНСКАЯ,Малое предприятие,"685007, МАГАДАНСКАЯ, МАГАДАН, ШАНДОРА ШИМИЧА, 3, 2, 1",559.813,168.85,,30.1618576203125,59.5757004,150.8058489,"59.5757,150.805849",address
186,3802013497,"ООО ""СИБСТРОЙСЕРВИС""",ИРКУТСКАЯ,Малое предприятие,"666904, ИРКУТСКАЯ, БОДАЙБО, МК-135, 65/1А",337.902,168.792,,49.95294493669763,57.8499525,114.2039967,"57.849952,114.203997",city_or_region
187,9204003550,"ООО ""СЕВПРОЕКТМОНТАЖ""",СЕВАСТОПОЛЬ,Малое предприятие,"299040, СЕВАСТОПОЛЬ, ГЕНЕРАЛА КОЛОМИЙЦА, 11-Б, 3",247.041,168.256,193.918,68.10853259175602,44.5707903,33.5328658,"44.57079,33.532866",address
188,5256137268,"ООО ""ГАСК-НН""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603123, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, ЮЖНЫЙ, 22А, УСЛ. №П1",39.364,167.962,178.652,426.6893608373133,56.3264816,44.0051395,"56.326482,44.00514",city_or_region
189,7733357413,"ООО ""ДИ ЭЛ ДЖИ КОНСТРАКШН""",МОСКВА,Малое предприятие,"125424, МОСКВА, ВОЛОКОЛАМСКОЕ, 71, 4, 70К",1066.389,167.35,225.066,15.69314762249048,55.8168277,37.4310272,"55.816828,37.431027",address
190,7813439894,"ООО ""ПГС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"193168, САНКТ-ПЕТЕРБУРГ, ДЫБЕНКО, 16, Б, 5-Н",3155.387,165.753,192.509,5.253016507959245,59.9041755,30.4702196,"59.904176,30.47022",address
191,8617013981,"ООО ""СВС""",ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,Малое предприятие,"628426, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, СУРГУТ, КОМПЛЕКТОВОЧНАЯ, 7/1",1375.358,165.551,157.307,12.0369387461301,61.2685007,73.4522192,"61.268501,73.452219",address
192,3250532719,"ООО ""СЗ ГРАДОСТРОИТЕЛЬ""",БРЯНСКАЯ,Малое предприятие,"241050, БРЯНСКАЯ, БРЯНСК, ДУКИ, 65, II ОФИС 3012",541.748,165.374,199.261,30.526001018923925,53.2423778,34.3668288,"53.242378,34.366829",city_or_region
193,8901017773,"ООО ""СТРОИТЕЛЬ""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629003, ЯМАЛО-НЕНЕЦКИЙ, САЛЕХАРД, ОБЪЕЗДНАЯ, 36А",566.174,164.214,,29.00415773242855,66.5511632,66.5951464,"66.551163,66.595146",address
194,6629013848,"ООО ""ГОСТСТРОЙ""",СВЕРДЛОВСКАЯ,Среднее предприятие,"624131, СВЕРДЛОВСКАЯ, НОВОУРАЛЬСК, ПОХОДНАЯ, 3",589.61,163.067,212.865,27.656756160852087,57.272396,60.0690401,"57.272396,60.06904",address
195,7702628790,"ООО ""РЕМЭКСПО ЛТ""",МОСКОВСКАЯ,Среднее предприятие,"141112, МОСКОВСКАЯ, ЩЁЛКОВО, 9, 1",1773.101,162.062,215.378,9.14003206811118,55.9092391,37.9938153,"55.909239,37.993815",address
196,9704143450,"ООО ""КОЛДИ-КОНСТРАКШН""",МОСКВА,Малое предприятие,"107031, МОСКВА, КУЗНЕЦКИЙ МОСТ, 13/9, 1",5653.398,160.159,143.172,2.832968773824167,55.7624162,37.6231052,"55.762416,37.623105",address
197,7455024456,"ООО ""ЭЛЕКТРОСТРОЙСЕРВИС""",ЧЕЛЯБИНСКАЯ,Малое предприятие,"455034, ЧЕЛЯБИНСКАЯ, МАГНИТОГОРСК, 50-ЛЕТИЯ МАГНИТКИ, 59А, 3, 4",1588.896,160.0,212.755,10.069885001913278,53.3580588,58.9558362,"53.358059,58.955836",address
198,7203441934,"ООО ""СК СТРОЙМОНТАЖ""",ТЮМЕНСКАЯ,Малое предприятие,"625048, ТЮМЕНСКАЯ, ТЮМЕНЬ, МАКСИМА ГОРЬКОГО, 76",335.017,159.263,167.226,47.53878161406735,57.1462729,65.5560563,"57.146273,65.556056",address
199,4703179856,"ООО ""СЗ ""ЕВРОИНВЕСТ МУРИНО""",ЛЕНИНГРАДСКАЯ,Малое предприятие,"188677, ЛЕНИНГРАДСКАЯ, ВСЕВОЛОЖСКИЙ, МУРИНО, МЕНДЕЛЕЕВА, 8, 21-Н, РАБОЧЕЕ МЕСТО № 1",755.24,159.189,178.252,21.07793549070494,60.046193,30.4458901,"60.046193,30.44589",city_or_region
200,1645023259,"ООО ""РУСНЕФТЕГАЗСТРОЙ """,ТАТАРСТАН,Малое предприятие,"423254, ТАТАРСТАН, ЛЕНИНОГОРСКИЙ, ЛЕНИНОГОРСК, АГАДУЛЛИНА, 25, 8, 3",277.868,159.128,,57.267479522651044,54.5988613,52.4712942,"54.598861,52.471294",address
201,1207007519,"ООО ""БИРХАУС""",МАРИЙ ЭЛ,Малое предприятие,"424016, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, ЛУНАЧАРСКОГО, 52",794.171,158.735,,19.987508987359146,56.6178753,47.8982441,"56.617875,47.898244",address
202,1435203400,"ООО ""СЗ ""ТРАНССТРОЙ""",САХА /ЯКУТИЯ/,Малое предприятие,"677014, САХА /ЯКУТИЯ/, ЯКУТСК, АВТОСТРАДА 50 ЛЕТ ОКТЯБРЯ, 10, 1А",50.23,158.08,171.052,314.71232331276127,62.0738132,129.7366718,"62.073813,129.736672",address
203,4823055595,"ООО ""СМУ-48""",ЛИПЕЦКАЯ,Малое предприятие,"398005, ЛИПЕЦКАЯ, ЛИПЕЦК, З.КОСМОДЕМЬЯНСКОЙ, 1А",890.918,157.914,,17.724863567690853,52.5894524,39.6238674,"52.589452,39.623867",address
204,4401159638,"АО ""ПРОФИСТРОЙ""",КОСТРОМСКАЯ,Малое предприятие,"156011, КОСТРОМСКАЯ, КОСТРОМА, БЕРЕЗОВЫЙ, 10",199.776,155.579,163.412,77.87672192855999,57.7302496,40.928541,"57.73025,40.928541",address
205,7536056600,"ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ""РАДЧЕНКО""",ЗАБАЙКАЛЬСКИЙ,Малое предприятие,"672007, ЗАБАЙКАЛЬСКИЙ, ЧИТА, БАБУШКИНА, 108, 15",653.095,155.306,197.334,23.78000137805373,52.0455861,113.4846662,"52.045586,113.484666",address
206,7714468005,"ООО ""СУ-90""",МОСКВА,Малое предприятие,"119330, МОСКВА, МОСФИЛЬМОВСКАЯ, 17Б, 89",8290.111,154.882,214.957,1.8682741401170624,55.714739,37.5165308,"55.714739,37.516531",address
207,1435128505,"ООО ""СТРОЙ-ИНДУСТРИЯ""",САХА (ЯКУТИЯ),Малое предприятие,"677014, САХА (ЯКУТИЯ), ЯКУТСК, АВИАТОРОВ, 15",1027.092,154.578,183.333,15.050063674919093,62.0979185,129.7507778,"62.097918,129.750778",address
208,6679071411,"ООО ""ЕЭМ""",СВЕРДЛОВСКАЯ,Малое предприятие,"620000, СВЕРДЛОВСКАЯ, ЕКАТЕРИНБУРГ, ШЕЙНКМАНА, 9, 51",1117.714,154.065,173.241,13.783937572581179,56.8281447,60.5864036,"56.828145,60.586404",address
209,7733294690,"ООО ""ГОРСВЕТ""",МОСКВА,Малое предприятие,"125476, МОСКВА, ВАСИЛИЯ ПЕТУШКОВА, 8, 3",1023.565,153.813,199.855,15.027184399622886,55.8359521,37.4011376,"55.835952,37.401138",address
210,2723198420,"ООО ""СОТ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"196191, САНКТ-ПЕТЕРБУРГ, НОВОИЗМАЙЛОВСКИЙ, 20, 1 ЛИТЕР А, 77",644.543,153.131,,23.758073549786438,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
211,5044125581,"ООО ""ВИС ИНЖИНИРИНГ""",МОСКОВСКАЯ,Малое предприятие,"141506, МОСКОВСКАЯ, СОЛНЕЧНОГОРСК, КРАСНАЯ, 23, 16",757.039,152.663,-0.212,20.16580387536177,56.1868973,36.9797987,"56.186897,36.979799",address
212,7204119039,"ООО ""ТЮМЕНЬБУРСТРОЙ""",ТЮМЕНСКАЯ,Малое предприятие,"625056, ТЮМЕНСКАЯ, ТЮМЕНЬ, ТРУБНАЯ, 32А",625.884,149.787,196.567,23.932070479513776,57.1893827,65.4614286,"57.189383,65.461429",address
213,5902994670,"ООО ""ИНТЕРКОМ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"191167, САНКТ-ПЕТЕРБУРГ, ТЕЛЕЖНАЯ, 37, С, 9-Н",768.031,149.523,,19.468354792970597,59.9228816,30.3800651,"59.922882,30.380065",address
214,7713748105,"ООО ""АЛЬФА-ФИНАНС""",МОСКВА,Среднее предприятие,"127299, МОСКВА, БОЛЬШАЯ АКАДЕМИЧЕСКАЯ, 5, 4/424",1005.53,148.499,222.336,14.768231678816147,55.8184848,37.5221579,"55.818485,37.522158",address
215,5032247049,"ООО ""ТЕХНОЛОГИЯ""",МОСКОВСКАЯ,Малое предприятие,"143002, МОСКОВСКАЯ, ОДИНЦОВО, МОЖАЙСКОЕ, 8, Б19, 3",520.109,148.455,,28.54305539800311,55.6699728,37.2709431,"55.669973,37.270943",address
216,1215012600,"АО ""СЗ ПМК-5""",МАРИЙ ЭЛ,Малое предприятие,"424037, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, ДРУЖБЫ, 98А",1030.269,148.252,193.58,14.389639987226637,56.6545467,47.8728127,"56.654547,47.872813",address
217,2225079613,"ООО ""ГТМ-СТРОЙ""",АЛТАЙСКИЙ,Малое предприятие,"658084, АЛТАЙСКИЙ, НОВОАЛТАЙСК, ВОЕНСТРОЯ, 65",694.793,147.98,195.754,21.298429892068572,53.3875253,83.9570474,"53.387525,83.957047",address
218,1215078778,"ООО ""СЗ ""РУСАГРОСТРОЙ""",МАРИЙ ЭЛ,Малое предприятие,"424004, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, ЛЬВА ТОЛСТОГО, 62",1715.423,147.015,203.342,8.570189393519849,56.6458825,47.9024462,"56.645882,47.902446",address
219,7455013408,"ООО ""УРАЛПРОФСТРОЙ""",ЧЕЛЯБИНСКАЯ,Среднее предприятие,"455006, ЧЕЛЯБИНСКАЯ, МАГНИТОГОРСК, ЛЮБИМАЯ, 20",1493.294,146.593,189.791,9.816754102005365,53.3349229,58.9783916,"53.334923,58.978392",address
220,6167065479,"АО ""СЗ ""СМУ №1""",РОСТОВСКАЯ,Среднее предприятие,"344002, РОСТОВСКАЯ, Ростов-на-Дону, БУДЕННОВСКИЙ, 36, 406",21.219,146.543,-75.591,690.6216127055941,47.22474,39.7065734,"47.22474,39.706573",address
221,1200003579,"ООО ""СЗ ""СК""ПИК""",МАРИЙ ЭЛ,Малое предприятие,"424005, МАРИЙ ЭЛ, ЙОШКАР-ОЛА, СЕРНУРСКИЙ, 20Б, 2",825.582,146.478,124.541,17.742392639374405,56.653277,47.9549525,"56.653277,47.954952",address
