Место в рейтинге,ИНН,Компания,Регион,Категория МСП,Адрес,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %",Широта,Долгота,Геоточка,Точность геокодирования
84,7838030937,"ООО ""ГСМ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"195277, САНКТ-ПЕТЕРБУРГ, КОМИССАРА СМИРНОВА, 11, Д, 204 (3-Н ЗА № 7)",4125.502,283.112,374.176,6.862486068362104,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
85,7728838739,"ООО ""ГАЗСТРОЙТЕХ""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,"194292, САНКТ-ПЕТЕРБУРГ, ДОМОСТРОИТЕЛЬНАЯ, 16, А, 13-Н",10222.661,282.781,390.167,2.766217132701554,59.9606739,30.1586551,"59.960674,30.158655",city_or_region
86,5262316681,"ООО СЗ ""СМ-СТРОЙ52""",НИЖЕГОРОДСКАЯ,Малое предприятие,"603105, НИЖЕГОРОДСКАЯ, НИЖНИЙ НОВГОРОД, ГЕНКИНОЙ, 25 А, П52 КАБИНЕТ 19",1260.821,281.77,434.331,22.348136650642715,56.3264816,44.0051395,"56.326482,44.00514",city_or_region
87,2204054375,"ООО ""МАТЕРИАЛСТРОЙСЕРВИС""",НОВОСИБИРСКАЯ,Малое предприятие,"630088, НОВОСИБИРСКАЯ, НОВОСИБИРСК, ПЕТУХОВА, 67/8, 3",833.957,280.973,366.459,33.691545247536745,54.945482,82.8853237,"54.945482,82.885324",address
88,7725715633,"ООО  ""ОБЪЕДИНЕННЫЕ ИНВЕСТИЦИИ В НЕДВИЖИМОСТЬ""",МОСКВА,Малое предприятие,"115093, МОСКВА, ПАВЛОВСКАЯ, 7, 3 ПОМ V КОМ 16",484.487,279.541,551.517,57.6983489753079,55.625578,37.6063916,"55.625578,37.606392",city_or_region
89,3907211633,"ООО СЗ ""КПД СТРОЙ""",КАЛИНИНГРАДСКАЯ,Малое предприятие,"236004, КАЛИНИНГРАДСКАЯ, КАЛИНИНГРАД, ДЮННАЯ, 18, 201",398.555,277.81,275.937,69.70430680834515,54.6861466,20.5174023,"54.686147,20.517402",address
90,2312189274,"ООО СЗ ""РОМЕКС ДЕВЕЛОПМЕНТ""",АДЫГЕЯ,Малое предприятие,"385200, АДЫГЕЯ, ТЕУЧЕЖСКИЙ, КОЧКИН, ЛОГИСТИЧЕСКАЯ, 3, 1, 146",974.996,275.288,360.695,28.234782501671802,44.866088,39.1835494,"44.866088,39.183549",city_or_region
91,9701063446,"ООО ""СТРОЙБУР""",МОСКВА,Малое предприятие,"105082, МОСКВА, РУБЦОВСКАЯ, 3, 1, 14 ПОМ I КОМ 9",678.231,271.833,362.527,40.07970735634319,55.625578,37.6063916,"55.625578,37.606392",city_or_region
92,5611022790,"ООО СЗ ""ИСК ""СТРОЙТЕХСЕРВИС""",ОРЕНБУРГСКАЯ,Среднее предприятие,"460058, ОРЕНБУРГСКАЯ, ОРЕНБУРГ, УРАЛЬСКАЯ, 2Д, 1",596.656,271.58,278.776,45.517014829315386,51.7635205,55.1405118,"51.76352,55.140512",address
93,2308114879,"ООО ""АГРОСПЕЦМОНТАЖ""",КРАСНОДАРСКИЙ,Малое предприятие,"350072, КРАСНОДАРСКИЙ, КРАСНОДАР, ИМ. 40-ЛЕТИЯ ПОБЕДЫ, 37, 1483",1443.985,271.196,363.668,18.781081520929927,45.0553775,39.0066001,"45.055378,39.0066",address
94,1643012519,"ООО ""ТЕХБУРСЕРВИС""",ТАТАРСТАН,Малое предприятие,"423458, ТАТАРСТАН, АЛЬМЕТЬЕВСКИЙ, АЛЬМЕТЬЕВСК, ЦЕХОВАЯ, 1, 4/1",908.097,265.518,277.574,29.23894694069026,54.899497,52.3259679,"54.899497,52.325968",address
95,7203294567,"ООО ""СКС""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629309, ЯМАЛО-НЕНЕЦКИЙ, НОВЫЙ УРЕНГОЙ, СЕВЕРНАЯ КОММУНАЛЬНАЯ ЗОНА, 8, 1",359.697,265.266,328.391,73.7470704509629,66.1233076,76.6776241,"66.123308,76.677624",address
96,4632203108,"ООО СЗ ""КАСКАД+""",КУРСКАЯ,Малое предприятие,"305045, КУРСКАЯ, КУРСК, ОБЪЕЗДНАЯ, 8",818.027,264.936,314.578,32.38719504368437,51.6582966,36.0675251,"51.658297,36.067525",address
97,5904272159,"ООО ""ГСТ""",ПЕРМСКИЙ,Малое предприятие,"614025, ПЕРМСКИЙ, ПЕРМЬ, ПИХТОВАЯ, 43",1519.366,262.011,309.794,17.244758669076443,57.9750863,56.2870375,"57.975086,56.287038",address
98,8905039369,"ООО ""СПЕЦМОНТАЖСТРОЙ""",ЯМАЛО-НЕНЕЦКИЙ,Среднее предприятие,"629805, ЯМАЛО-НЕНЕЦКИЙ, НОЯБРЬСК, 3",1476.13,258.442,273.712,17.50807855676668,63.1930939,75.4593595,"63.193094,75.45936",address
99,6444006904,"ООО ""СТРОИТЕЛЬНАЯ КОМПАНИЯ""",САРАТОВСКАЯ,Малое предприятие,"412515, САРАТОВСКАЯ, Петровский, Вязьмино, ЦЕНТРАЛЬНАЯ, 15",562.473,258.178,274.481,45.90051433579923,52.2196156,45.4179204,"52.219616,45.41792",address
100,8904054325,"ООО ПКК""ЛИГА-СЕРВИС 89""",ЯМАЛО-НЕНЕЦКИЙ,Малое предприятие,"629300, ЯМАЛО-НЕНЕЦКИЙ, НОВЫЙ УРЕНГОЙ, ЛЕНИНГРАДСКИЙ, 12, А, 142",638.267,256.146,,40.13148102596562,66.0833716,76.6884057,"66.083372,76.688406",address
101,6314023257,"ООО ""МСС""",САМАРСКАЯ,Малое предприятие,"443010, САМАРСКАЯ, САМАРА, ЧАПАЕВСКАЯ, 142, ОФИС 1",1102.301,255.953,334.645,23.219882772491363,53.1909785,50.0962865,"53.190978,50.096286",address
102,1655119785,"ООО ""КАМАСТРОЙИНВЕСТ""",ТАТАРСТАН,Малое предприятие,"420021, ТАТАРСТАН, КАЗАНЬ, КАЮМА НАСЫРИ, 3, 200",242.203,254.892,222.816,105.23899373665893,55.781246,49.1154651,"55.781246,49.115465",address
103,7733732294,"ООО ""БИЭФ""",МОСКВА,Малое предприятие,"115230, МОСКВА, ЭЛЕКТРОЛИТНЫЙ, 1, 3, 3 П Х К 9 О 1Б",3586.982,254.577,389.565,7.097247769852204,55.625578,37.6063916,"55.625578,37.606392",city_or_region
104,7816300957,"АО СК ""КОМПАКТ""",САНКТ-ПЕТЕРБУРГ,Среднее предприятие,"192102, САНКТ-ПЕТЕРБУРГ, ФУЧИКА, 4, Б, 4Н",5849.564,250.41,260.957,4.280831870546249,59.877503,30.3625459,"59.877503,30.362546",address
