ИНН,Компания,Регион,Категория МСП,Год,"Выручка, млн руб.","Чистая прибыль, млн руб.","EBIT, млн руб.","Рентабельность по чистой прибыли, %","Рентабельность EBIT, %","Рост чистой прибыли 2021–2025, %",Ранг по чистой прибыли в году,Прибыльная компания,Статус сбора
3327332190,"АО ""АГРОТЕХИМПОРТ""",ВЛАДИМИРСКАЯ,Малое предприятие,2025,1158.867,65.83,20.856,5.680548328669295,1.799688834007699,220.10697787503037,549,True,success_bfo
7816061297,"АО ""АКС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,2023,116.186,0.565,,0.4862892258964075,,136.02599814298978,6189,True,success_bfo
7816061297,"АО ""АКС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,2022,61.921,0.444,0.574,0.7170426834191954,0.9269876132491399,136.02599814298978,6776,True,success_bfo
7816061297,"АО ""АКС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,2021,179.874,1.077,1.385,0.5987524600553721,0.7699834328474376,136.02599814298978,5882,True,success_bfo
7816061297,"АО ""АКС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,2025,288.686,2.542,,0.8805414879834838,,136.02599814298978,3795,True,success_bfo
7816061297,"АО ""АКС""",САНКТ-ПЕТЕРБУРГ,Малое предприятие,2024,782.668,11.674,,1.491564750315587,,136.02599814298978,2431,True,success_bfo
3525048992,"АО ""АПСК ""ГСА""",ЯРОСЛАВСКАЯ,Малое предприятие,2021,174.46,9.611,16.274,5.508999197523788,9.328212770835721,933.4512537717198,2259,True,success_bfo
3525048992,"АО ""АПСК ""ГСА""",ЯРОСЛАВСКАЯ,Малое предприятие,2023,1838.703,183.854,241.258,9.999113505552556,13.121096773105826,933.4512537717198,166,True,success_bfo
3525048992,"АО ""АПСК ""ГСА""",ЯРОСЛАВСКАЯ,Малое предприятие,2025,1487.117,99.325,181.37,6.679030634442347,12.196081411213779,933.4512537717198,372,True,success_bfo
3525048992,"АО ""АПСК ""ГСА""",ЯРОСЛАВСКАЯ,Малое предприятие,2024,1230.865,29.55,99.269,2.400750691586811,8.064978693845386,933.4512537717198,1375,True,success_bfo
3525048992,"АО ""АПСК ""ГСА""",ЯРОСЛАВСКАЯ,Малое предприятие,2022,332.866,10.568,14.294,3.174851141300103,4.294220497136986,933.4512537717198,2368,True,success_bfo
2515000365,"АО ""АСО-1""",ПРИМОРСКИЙ,Малое предприятие,2021,109.061,0.062,4.091,0.05684891941207214,3.7511117631417283,14767.741935483871,7915,True,success_bfo
2515000365,"АО ""АСО-1""",ПРИМОРСКИЙ,Малое предприятие,2025,268.206,9.218,,3.4369104345167516,,14767.741935483871,2290,True,success_bfo
2515000365,"АО ""АСО-1""",ПРИМОРСКИЙ,Малое предприятие,2023,191.358,0.139,8.228,0.0726387190501573,4.29979410319924,14767.741935483871,7018,True,success_bfo
2515000365,"АО ""АСО-1""",ПРИМОРСКИЙ,Малое предприятие,2024,176.464,0.619,7.349,0.35077976244446457,4.164588811315623,14767.741935483871,5772,True,success_bfo
2515000365,"АО ""АСО-1""",ПРИМОРСКИЙ,Малое предприятие,2022,210.423,33.698,44.951,16.014409071251716,21.36220850382325,14767.741935483871,964,True,success_bfo
3101000612,"АО ""АПМК-1""",БЕЛГОРОДСКАЯ,Малое предприятие,2021,10.052,-3.05,-3.036,-30.342220453641065,-30.202944687624356,-530.4918032786885,8959,False,success_bfo
3101000612,"АО ""АПМК-1""",БЕЛГОРОДСКАЯ,Малое предприятие,2024,90.288,-21.506,-20.819,-23.81933368775474,-23.058435229487863,-530.4918032786885,8627,False,success_bfo
3101000612,"АО ""АПМК-1""",БЕЛГОРОДСКАЯ,Малое предприятие,2025,0.743,-19.23,-19.226,-2588.156123822342,-2587.6177658142665,-530.4918032786885,7928,False,success_bfo
3101000612,"АО ""АПМК-1""",БЕЛГОРОДСКАЯ,Малое предприятие,2023,120.415,-15.367,-13.946,-12.761699123863307,-11.581613586347215,-530.4918032786885,9124,False,success_bfo
3101000612,"АО ""АПМК-1""",БЕЛГОРОДСКАЯ,Малое предприятие,2022,11.618,-13.022,-12.667,-112.08469616112929,-109.02909278705457,-530.4918032786885,9627,False,success_bfo
5902126804,"АО ""АМБЕР-СТРОЙСЕРВИС""",ПЕРМСКИЙ,Малое предприятие,2021,43.676,10.564,11.046,24.187196629727996,25.290777543731114,-84.26732298371829,2113,True,success_bfo
5902126804,"АО ""АМБЕР-СТРОЙСЕРВИС""",ПЕРМСКИЙ,Малое предприятие,2024,145.548,21.635,,14.864512051007228,,-84.26732298371829,1683,True,success_bfo
5902126804,"АО ""АМБЕР-СТРОЙСЕРВИС""",ПЕРМСКИЙ,Малое предприятие,2023,67.038,0.346,2.132,0.5161251827321818,3.180285808049166,-84.26732298371829,6563,True,success_bfo
5902126804,"АО ""АМБЕР-СТРОЙСЕРВИС""",ПЕРМСКИЙ,Малое предприятие,2022,52.842,4.885,5.191,9.244540327769577,9.82362514666364,-84.26732298371829,3606,True,success_bfo
5902126804,"АО ""АМБЕР-СТРОЙСЕРВИС""",ПЕРМСКИЙ,Малое предприятие,2025,28.251,1.662,,5.8829775937134965,,-84.26732298371829,4228,True,success_bfo
0523005733,"АО ""АМИРУС""",ДАГЕСТАН,Малое предприятие,2025,36.114,7.275,7.412,20.144542282771223,20.523896549814477,1623.9336492890995,2553,True,success_bfo
0523005733,"АО ""АМИРУС""",ДАГЕСТАН,Малое предприятие,2023,29.865,1.102,0.918,3.689938054578939,3.073832245102963,1623.9336492890995,5558,True,success_bfo
0523005733,"АО ""АМИРУС""",ДАГЕСТАН,Малое предприятие,2022,188.416,1.539,1.924,0.8168096127717392,1.0211447010869565,1623.9336492890995,5417,True,success_bfo
0523005733,"АО ""АМИРУС""",ДАГЕСТАН,Малое предприятие,2024,91.703,2.028,2.318,2.2114870833015274,2.527725374306184,1623.9336492890995,4679,True,success_bfo
0523005733,"АО ""АМИРУС""",ДАГЕСТАН,Малое предприятие,2021,64.542,0.422,0.527,0.6538378110377738,0.8165225744476465,1623.9336492890995,6906,True,success_bfo
7724745755,"АО ""АРСЕНАЛ""",МОСКВА,Среднее предприятие,2024,1871.289,89.807,139.593,4.799205253704799,7.459724286307459,23261.403508771928,471,True,success_bfo
7724745755,"АО ""АРСЕНАЛ""",МОСКВА,Среднее предприятие,2023,1129.443,28.092,44.532,2.4872437121660855,3.9428284561505094,23261.403508771928,1284,True,success_bfo
7724745755,"АО ""АРСЕНАЛ""",МОСКВА,Среднее предприятие,2025,1384.301,79.896,99.03,5.771577135319558,7.153790974650745,23261.403508771928,457,True,success_bfo
